id,name,edible_conversion_factor,energy_kj,energy_kcal,water_g,protein_g,fat_g,carbs_available_g,fiber_g,ash_g,calcium_mg,iron_mg,magnesium_mg,potassium_mg,sodium_mg,zinc_mg,selenium_mcg,retinol_mcg,beta_carotene_eq_mcg,thiamin_mg,riboflavin_mg,niacin_mg,food_folate_mcg,vit_b12_mcg,vit_c_mg,cholesterol_mg,food_group
3057,"Gram, black, dry, water-soaked, boiled in different water, drained (without salt)",1,433.0,103.0,71.2,8,0.6,13.8,5.3,1.2,25,1.6,32,175,5,0.68,14,0,46,0.07,0.03,0.4,56,0,1,0.0,LEGUMES AND PULSES
3058,"Gram, black, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,290.0,69.0,80.7,5.3,0.4,9.2,3.5,0.8,20,1.3,25,157,5,0.51,9,0,31,0.05,0.02,0.3,45,0,0,0.0,LEGUMES AND PULSES
3018,"Gram, Flour",1,1490.0,353.0,9.6,22.7,5.4,48.5,10.1,3.75,58,5.2,62,297,2,1.5,4,0,32,0.45,0.17,1.9,193,0,0,0.0,LEGUMES AND PULSES
3019,"Gram, green, dry, raw",1,1310.0,311.0,11.6,27.2,[1.7],38.4,16.7,4.4,151,7.6,208,989,26,2.62,23,0,111,0.52,0.2,2.2,607,0,3,0.0,LEGUMES AND PULSES
3059,"Gram, green, dry, unsoaked, boiled, drained (without salt)",1,487.0,116.0,67.1,10.1,0.6,14.3,6.2,1.7,49,2.4,66,276,9,0.88,9,0,41,0.13,0.06,0.5,113,0,1,0.0,LEGUMES AND PULSES
3060,"Gram, green, dry, unsoaked, boiled (without salt, water not discarded)",1,309.0,73.0,79.2,6.4,0.4,9,3.9,1.1,38,1.8,50,233,8,0.62,6,0,26,0.1,0.05,0.4,86,0,0,0.0,LEGUMES AND PULSES
3061,"Gram, green, dry, water-soaked, boiled in different water, drained (without salt)",1,487.0,116.0,67.1,10.1,0.6,14.3,6.2,1.7,49,2.4,66,276,9,0.88,9,0,41,0.13,0.06,0.5,113,0,1,0.0,LEGUMES AND PULSES
3062,"Gram, green, dry, water-soaked, boiled in different water (without salt, water not discarded)",1,309.0,73.0,79.2,6.4,0.4,9,3.9,1.1,38,1.8,50,233,8,0.62,6,0,26,0.1,0.05,0.4,86,0,0,0.0,LEGUMES AND PULSES
3020,"Lentils, whole, dry, raw",1,1340.0,318.0,9.95,28.4,0.6,41.3,16.8,3,83,7.4,101,629,11,4,33,0,10,0.4,0.19,2.54,[132],0,6.8,0.0,LEGUMES AND PULSES
3063,"Lentils, whole, dry, unsoaked, boiled, drained (without salt)",1,506.0,120.0,66,10.7,0.2,15.6,6.3,1.1,28,2.4,33,178,5,1.22,13,0,4,0.1,0.05,0.6,25,0,2,0.0,LEGUMES AND PULSES
